NO	CPA1	CPA2	CPA3	CPA4	RA1	RA2	RA3	RA4	RA5	CPL1	CPL2	CPL3	TRI1	TRI2	TRI3	OBS1	OBS2	OBS3	ATT1	ATT2	ATT3	INT1	INT2	INT3	INT4	SEX	AGE	EDUC	INCOME	STATUS
157	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Totally agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
158	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
159	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
160	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	Disagree	Disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
161	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less disagree	Neutral	More or less disagree	Totally agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
162	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Male	23-25 years old	Professional certificate	< 10,000,000 VND	Married
163	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Totally agree	More or less agree	Neutral	Neutral	More or less agree	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
164	More or less agree	Neutral	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Neutral	Totally agree	More or less disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Female	23-25 years old	High school or lesser	10,000,000 VND - 20,000,000 VND	Married
165	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Totally disagree	Totally disagree	Totally disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Married
166	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
167	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Disagree	More or less disagree	Disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	20,000,000 VND – 30,000,000 VND	Married
168	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Totally agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
169	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	Neutral	Neutral	Disagree	Neutral	Disagree	Neutral	More or less agree	Totally agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
170	More or less agree	More or less agree	Neutral	More or less agree	Totally agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	Disagree	Disagree	More or less agree	More or less disagree	Neutral	More or less agree	More or less agree	Totally agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
171	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Married
172	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
173	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
174	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Agree	Agree	Agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
175	Totally agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
176	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	Neutral	Male	26-28 years old	College diploma	< 10,000,000 VND	Single
177	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	Neutral	Totally agree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
178	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Totally agree	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
179	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Married
180	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Married
181	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Male	19-22 years old	High school or lesser	< 10,000,000 VND	Single
182	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	Disagree	More or less agree	More or less agree	Totally agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
183	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	Postgraduate degree	10,000,000 VND - 20,000,000 VND	Married
184	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
185	Neutral	Neutral	More or less agree	Neutral	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally disagree	Totally disagree	Totally disagree	Totally agree	Totally agree	Totally agree	Agree	Agree	Agree	Totally agree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	Male	26-28 years old	College diploma	< 10,000,000 VND	Single
186	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	Totally disagree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
187	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less agree	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
188	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Totally agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
189	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	Male	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
190	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
191	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	More or less agree	Totally agree	Agree	Agree	Agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less disagree	Totally agree	Totally agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
192	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	> 40,000,000 VND	Married
193	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Neutral	Neutral	Agree	Totally agree	Totally agree	Totally agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Married
194	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
195	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
196	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less disagree	Disagree	Neutral	Disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Single
197	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
198	Neutral	Neutral	Neutral	Neutral	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
199	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
200	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Disagree	More or less disagree	Totally disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
201	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	More or less disagree	Disagree	Disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
202	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
203	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
204	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
205	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Disagree	More or less agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	20,000,000 VND – 30,000,000 VND	Married
206	Neutral	Neutral	Neutral	Neutral	Disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	College diploma	10,000,000 VND - 20,000,000 VND	Married
207	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
208	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Single
209	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
210	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
211	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
212	More or less agree	Neutral	Neutral	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	Neutral	Neutral	Agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Married
213	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Totally agree	More or less agree	Totally agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
214	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	> 40,000,000 VND	Married
215	Totally agree	Totally agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	Male	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
216	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
217	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
218	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Disagree	Disagree	Disagree	Disagree	More or less disagree	Disagree	More or less disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	Disagree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
219	More or less agree	More or less agree	More or less agree	Totally agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
220	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	Postgraduate degree	20,000,000 VND – 30,000,000 VND	Married
221	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
222	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
223	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Disagree	More or less disagree	Disagree	More or less disagree	Neutral	More or less disagree	More or less agree	Agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	High school or lesser	< 10,000,000 VND	Single
224	More or less agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
225	Totally agree	Totally agree	More or less agree	Totally agree	More or less agree	Totally agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Female	26-28 years old	High school or lesser	< 10,000,000 VND	Married
226	Neutral	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally disagree	Totally disagree	Totally disagree	More or less agree	Totally agree	Totally agree	Agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Totally agree	Female	23-25 years old	College diploma	< 10,000,000 VND	Single
227	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Totally agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	10,000,000 VND - 20,000,000 VND	Married
228	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less disagree	Disagree	Disagree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
229	More or less agree	Agree	Agree	Agree	Totally agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less disagree	Neutral	Disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
230	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Totally agree	Agree	Agree	Agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
231	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
